Month,Phyla,Taxa,Zone,Site,N,SarGr,Nkg
Sep,Annelida,Platynereis dumerilii,2m,1,15,530,28.3
Sep,Annelida,Platynereis dumerilii,2m,2,13,1300,10
Sep,Annelida,Platynereis dumerilii,2m,3,3,1400,2.1
Sep,Annelida,Platynereis dumerilii,2m,4,3,1680,1.8
Sep,Annelida,Platynereis dumerilii,500m,1,49,160,306.3
Sep,Annelida,Platynereis dumerilii,500m,2,10,80,125
Sep,Annelida,Platynereis dumerilii,500m,3,50,440,113.6
Sep,Annelida,Platynereis dumerilii,500m,4,13,160,81.3
Sep,Annelida,Platynereis dumerilii,50m,1,92,410,224.4
Sep,Annelida,Platynereis dumerilii,50m,2,22,110,200
Sep,Annelida,Platynereis dumerilii,50m,3,37,90,411.1
Sep,Annelida,Platynereis dumerilii,50m,4,56,280,200
Sep,Arthropoda,Ampelisca sp,2m,1,0,530,0
Sep,Arthropoda,Ampelisca sp,2m,2,0,1300,0
Sep,Arthropoda,Ampelisca sp,2m,3,0,1400,0
Sep,Arthropoda,Ampelisca sp,2m,4,0,1680,0
Sep,Arthropoda,Ampelisca sp,500m,1,0,160,0
Sep,Arthropoda,Ampelisca sp,500m,2,0,80,0
Sep,Arthropoda,Ampelisca sp,500m,3,0,440,0
Sep,Arthropoda,Ampelisca sp,500m,4,0,160,0
Sep,Arthropoda,Ampelisca sp,50m,1,1,410,2.4
Sep,Arthropoda,Ampelisca sp,50m,2,0,110,0
Sep,Arthropoda,Ampelisca sp,50m,3,0,90,0
Sep,Arthropoda,Ampelisca sp,50m,4,0,280,0
Sep,Arthropoda,Biancolina brassicacephala,2m,1,0,530,0
Sep,Arthropoda,Biancolina brassicacephala,2m,2,0,1300,0
Sep,Arthropoda,Biancolina brassicacephala,2m,3,0,1400,0
Sep,Arthropoda,Biancolina brassicacephala,2m,4,0,1680,0
Sep,Arthropoda,Biancolina brassicacephala,500m,1,2,160,12.5
Sep,Arthropoda,Biancolina brassicacephala,500m,2,0,80,0
Sep,Arthropoda,Biancolina brassicacephala,500m,3,0,440,0
Sep,Arthropoda,Biancolina brassicacephala,500m,4,0,160,0
Sep,Arthropoda,Biancolina brassicacephala,50m,1,0,410,0
Sep,Arthropoda,Biancolina brassicacephala,50m,2,2,110,18.2
Sep,Arthropoda,Biancolina brassicacephala,50m,3,0,90,0
Sep,Arthropoda,Biancolina brassicacephala,50m,4,0,280,0
Sep,Arthropoda,Carpias sp,2m,1,0,530,0
Sep,Arthropoda,Carpias sp,2m,2,0,1300,0
Sep,Arthropoda,Carpias sp,2m,3,0,1400,0
Sep,Arthropoda,Carpias sp,2m,4,1,1680,0.6
Sep,Arthropoda,Carpias sp,500m,1,4,160,25
Sep,Arthropoda,Carpias sp,500m,2,0,80,0
Sep,Arthropoda,Carpias sp,500m,3,1,440,2.3
Sep,Arthropoda,Carpias sp,500m,4,4,160,25
Sep,Arthropoda,Carpias sp,50m,1,68,410,165.9
Sep,Arthropoda,Carpias sp,50m,2,0,110,0
Sep,Arthropoda,Carpias sp,50m,3,5,90,55.6
Sep,Arthropoda,Carpias sp,50m,4,5,280,17.9
Sep,Arthropoda,Diptera (larva),2m,1,0,530,0
Sep,Arthropoda,Diptera (larva),2m,2,0,1300,0
Sep,Arthropoda,Diptera (larva),2m,3,0,1400,0
Sep,Arthropoda,Diptera (larva),2m,4,0,1680,0
Sep,Arthropoda,Diptera (larva),500m,1,0,160,0
Sep,Arthropoda,Diptera (larva),500m,2,0,80,0
Sep,Arthropoda,Diptera (larva),500m,3,0,440,0
Sep,Arthropoda,Diptera (larva),500m,4,0,160,0
Sep,Arthropoda,Diptera (larva),50m,1,0,410,0
Sep,Arthropoda,Diptera (larva),50m,2,0,110,0
Sep,Arthropoda,Diptera (larva),50m,3,1,90,11.1
Sep,Arthropoda,Diptera (larva),50m,4,0,280,0
Sep,Arthropoda,Latreutes fucorum,2m,1,0,530,0
Sep,Arthropoda,Latreutes fucorum,2m,2,0,1300,0
Sep,Arthropoda,Latreutes fucorum,2m,3,0,1400,0
Sep,Arthropoda,Latreutes fucorum,2m,4,0,1680,0
Sep,Arthropoda,Latreutes fucorum,500m,1,58,160,362.5
Sep,Arthropoda,Latreutes fucorum,500m,2,53,80,662.5
Sep,Arthropoda,Latreutes fucorum,500m,3,78,440,177.3
Sep,Arthropoda,Latreutes fucorum,500m,4,49,160,306.3
Sep,Arthropoda,Latreutes fucorum,50m,1,48,410,117.1
Sep,Arthropoda,Latreutes fucorum,50m,2,14,110,127.3
Sep,Arthropoda,Latreutes fucorum,50m,3,47,90,522.2
Sep,Arthropoda,Latreutes fucorum,50m,4,55,280,196.4
Sep,Arthropoda,Leander ternuicornis,2m,1,0,530,0
Sep,Arthropoda,Leander ternuicornis,2m,2,0,1300,0
Sep,Arthropoda,Leander ternuicornis,2m,3,0,1400,0
Sep,Arthropoda,Leander ternuicornis,2m,4,0,1680,0
Sep,Arthropoda,Leander ternuicornis,500m,1,1,160,6.3
Sep,Arthropoda,Leander ternuicornis,500m,2,7,80,87.5
Sep,Arthropoda,Leander ternuicornis,500m,3,3,440,6.8
Sep,Arthropoda,Leander ternuicornis,500m,4,3,160,18.8
Sep,Arthropoda,Leander ternuicornis,50m,1,4,410,9.8
Sep,Arthropoda,Leander ternuicornis,50m,2,0,110,0
Sep,Arthropoda,Leander ternuicornis,50m,3,5,90,55.6
Sep,Arthropoda,Leander ternuicornis,50m,4,3,280,10.7
Sep,Arthropoda,Nototropis minikoi,2m,1,0,530,0
Sep,Arthropoda,Nototropis minikoi,2m,2,0,1300,0
Sep,Arthropoda,Nototropis minikoi,2m,3,0,1400,0
Sep,Arthropoda,Nototropis minikoi,2m,4,0,1680,0
Sep,Arthropoda,Nototropis minikoi,500m,1,0,160,0
Sep,Arthropoda,Nototropis minikoi,500m,2,0,80,0
Sep,Arthropoda,Nototropis minikoi,500m,3,0,440,0
Sep,Arthropoda,Nototropis minikoi,500m,4,0,160,0
Sep,Arthropoda,Nototropis minikoi,50m,1,2,410,4.9
Sep,Arthropoda,Nototropis minikoi,50m,2,0,110,0
Sep,Arthropoda,Nototropis minikoi,50m,3,0,90,0
Sep,Arthropoda,Nototropis minikoi,50m,4,0,280,0
Sep,Arthropoda,Portunus sayi,2m,1,0,530,0
Sep,Arthropoda,Portunus sayi,2m,2,0,1300,0
