Month,Zone,Site,Taxa,N,SarGr,Nkg
Sep,2m,1,2,17,530,32.1
Sep,2m,2,4,16,1300,12.3
Sep,2m,3,2,5,1400,3.6
Sep,2m,4,2,4,1680,2.4
Sep,500m,1,11,124,160,775
Sep,500m,2,7,80,80,1000
Sep,500m,3,7,162,440,368.2
Sep,500m,4,7,72,160,450
Sep,50m,1,9,238,410,580.5
Sep,50m,2,5,41,110,372.7
Sep,50m,3,10,116,90,1288.9
Sep,50m,4,7,142,280,507.1
Oct,2m,1,12,610,693,880.2
Oct,2m,2,5,41,170,241.2
Oct,2m,3,6,30,685,43.8
Oct,2m,4,7,90,1905,47.2
Oct,500m,1,12,704,310,2271
Oct,500m,2,14,395,275,1436.4
Oct,500m,3,10,515,592,869.9
Oct,500m,4,12,378,480,787.5
Oct,50m,1,12,289,213,1356.8
Oct,50m,2,13,382,395,967.1
Oct,50m,3,10,425,310,1371
Oct,50m,4,9,220,505,435.6
Nov,2m,1,18,2292,179,12804.5
Nov,2m,2,13,243,195,1246.2
Nov,2m,3,10,125,152,822.4
Nov,2m,4,14,227,63,3603.2
Nov,500m,1,12,600,86,6976.7
Nov,500m,2,11,274,185,1481.1
Nov,500m,3,14,357,161,2217.4
Nov,500m,4,12,246,161,1528
Nov,50m,1,11,202,62,3258.1
Nov,50m,2,9,181,96,1885.4
Nov,50m,3,10,321,183,1754.1
Nov,50m,4,10,132,88,1500
