Taxa,Sep,Oct,Nov,Total
Abudefduf saxatilis,6.25,0,24.84,31.09
Ampelisca sp,2.44,0,15.87,18.31
Biancolina brassicacephala,30.68,146.33,499.29,676.3
Bivalvia,0,7.27,0,7.27
Carangoides bartholomaei,0,0,16.13,16.13
Carpias sp,292.13,567.34,1861.35,2720.83
Diptera (larva),11.11,0,0,11.11
Discias atlanticus,0,0,27.24,27.24
Gnesioceros sargassicola,0,0,93.6,93.6
Histrio histrio,0,0,5.59,5.59
Hyale sp,0,30.82,323.47,354.29
Idotea metallica,0,0,34.51,34.51
Latreutes fucorum,2471.52,1687.3,6312.98,10471.8
Leander ternuicornis,195.34,148.6,223.69,567.63
Litiopa melanostoma,430.95,1120.23,7474.47,9025.66
Nematoda,4.34,7.97,0,12.31
Nemertea,6.25,70.54,359.26,436.05
Nototropis minikoi,4.88,127.76,8493.82,8626.46
Nudibranchia,6.25,0,144.63,150.88
Penaeoidea,0,0,18.63,18.63
Platynereis dumerilii,1703.87,6529.2,12258.85,20491.92
Portunus sayi,71.84,54.79,381.5,508.12
Probopyrinella latreuticola,62.16,115.38,197.15,374.69
Pycnogonidae,17.36,46.83,190.49,254.68
Scyllaea pelagica,0,20.72,0,20.72
Sipinculid,0,9.24,22.62,31.86
Stephanolepis hispidus,0,0,17.84,17.84
Sunamphitoe pelagica,73.19,7.27,48.66,129.12
Syngnathus pelagicus,0,0,5.59,5.59
Talitridae,2.2,7.59,0,9.79
Tozeuma carolinense,0,0,24.84,24.84
Zeuxo sp,0,2.53,0,2.53
